0,0
2,1
5,1
8,0
3,1
6,1
8,0
11,1
13,1
17,1
21,1
25,1
31,2
34,2
41,1
49,1
53,1
58,1
66,1
72,1
80,2
88,1
96,1
112,1
127,2
129,1
137,2
146,4
155,2
167,2
180,2
192,2
205,1
212,3
230,1
245,3
260,2
277,2
302,2
325,3
333,10
338,2
354,2
371,1
400,1
407,1
423,2
442,1
461,2
486,1
499,2
521,2
541,1
560,1
591,1
613,2
626,2
654,1
673,2
694,2
718,7
742,1
786,2
798,2
820,2
844,2
869,2
895,2
939,2
950,2
976,2
1005,2
1033,2
1080,2
1092,2
1123,4
1151,3
1199,2
1213,2
1243,2
1275,2
1325,2
1338,2
1374,3
1406,2
1468,2
1472,3
1507,8
1565,2
1609,3
1642,2
1669,3
1684,3
1723,2
1777,3
1796,3
1836,2
1891,3
1912,3
1952,3
0,0
0,0
1,0
2,1
3,0
6,0
7,0
11,1
14,0
17,1
21,1
25,0
30,1
36,1
40,0
46,1
53,1
60,1
66,1
74,1
81,1
90,1
98,1
107,2
119,1
126,1
137,2
148,1
158,2
173,1
184,2
196,2
211,2
222,2
235,2
249,2
262,7
281,0
297,2
313,1
328,1
353,1
364,1
378,1
395,1
411,2
434,1
453,1
470,2
493,1
513,2
523,1
553,1
569,2
595,1
609,2
627,1
651,2
672,2
695,1
735,2
744,2
767,2
792,2
817,1
843,3
879,2
902,3
926,3
952,3
977,3
1004,3
1051,3
1062,7
1091,2
1120,2
1168,2
1181,2
1212,2
1246,3
1291,2
1308,2
1339,2
1372,3
1422,2
1449,3
1480,2
1528,2
1549,3
1586,2
1619,3
1672,2
1687,3
1724,2
1772,3
1797,2
1850,3
1877,3
1913,4
1966,5
0,0
0,0
1,0
2,0
3,0
6,1
8,0
10,1
13,0
17,1
20,0
26,1
30,0
35,1
41,1
46,1
53,1
59,1
67,1
74,1
81,1
90,1
98,1
108,2
119,1
127,2
137,1
147,2
158,1
169,2
181,1
196,2
207,2
219,2
232,1
246,2
260,3
277,2
308,2
313,2
327,2
343,3
357,2
378,3
390,2
406,3
424,2
444,3
460,3
481,3
508,3
527,2
540,3
561,9
583,2
604,2
627,1
649,2
671,1
711,2
719,2
743,2
767,2
793,1
817,2
860,2
869,2
894,2
922,2
949,2
977,2
1021,2
1034,2
1062,2
1095,2
1137,2
1152,2
1181,2
1212,2
1246,2
1288,3
1307,2
1342,2
1388,3
1406,2
1438,3
1472,2
1524,5
1545,2
1579,3
1628,3
1648,4
1685,3
1737,3
1767,4
1798,3
1849,4
1876,4
1928,3
1951,4
0,0
1,0
1,0
1,0
4,1
5,0
8,0
10,0
14,1
17,0
21,0
25,1
30,0
34,1
41,0
46,1
53,0
59,1
66,1
73,6
81,0
90,1
98,0
108,1
116,1
126,0
136,1
147,0
159,1
170,1
182,1
195,1
206,0
220,1
247,1
254,1
266,1
278,1
292,1
306,1
321,1
336,1
353,1
370,1
388,1
405,2
423,1
441,1
467,1
490,2
500,1
518,1
540,2
561,1
582,2
605,2
628,1
660,2
674,2
695,1
718,2
742,2
767,2
792,1
833,2
842,2
869,2
894,2
923,2
950,2
994,2
1004,2
1032,2
1062,3
1094,2
1131,2
1150,2
1181,2
1214,2
1259,2
1275,3
1306,2
1339,2
1387,2
1404,2
1437,3
1492,2
1507,2
1541,3
1595,2
1624,3
1684,2
1731,3
1754,4
1829,4
1840,4
1872,6
1890,6
1934,6
1995,5
0,0
0,0
1,0
2,1
4,0
5,0
8,0
10,1
13,0
17,1
21,0
25,1
30,1
35,0
40,1
46,1
52,1
59,1
66,1
73,1
81,1
90,1
98,1
108,2
117,1
126,1
136,2
148,1
168,2
173,2
181,1
193,2
213,2
221,1
232,2
246,2
260,2
274,2
289,2
305,2
321,2
336,2
354,3
371,2
387,3
407,2
439,3
443,3
465,2
480,3
502,3
521,3
541,3
561,3
582,3
608,4
637,3
649,3
671,4
694,3
719,3
743,4
769,4
822,3
844,4
855,5
883,4
906,4
939,4
958,4
979,4
1005,5
1033,4
1086,4
1093,5
1121,4
1151,5
1183,5
1229,9
1242,2
1274,2
1306,2
1357,3
1373,2
1404,2
1454,2
1477,3
1506,2
1541,2
1595,3
1613,2
1648,2
1702,3
1721,2
1758,3
1816,3
1834,2
1888,3
1910,2
1949,3
0,0
0,0
1,0
2,0
